"Part","Value","Device","Package","Description"
"C9","4.7uF, 50V","GRM31CR71H475KA12L","1206","Murata SMD Ceramic Capacitor"
"C10","1uF, 50V","GRM21BR71H105KA12L","0805","Murata SMD Ceramic Capacitor"
"D1","5.1V, 5W","CZRB5338B-HF","DO-214AA","Comchip SMD Zener Diode"
"F1","1.0A HOLD, 1.8A TRIP","1206L100","1206","Littelfuse POLYFUSE® Resettable PTC"
"J1","M02PTH","M02PTH","1X02","Standard 2-pin 0.1" header"
"J2","M02PTH","M02PTH","1X02","Standard 2-pin 0.1" header"
"J3","M02PTH","M02PTH","1X02","Standard 2-pin 0.1" header"
"J4","USB Micro B","10118194-0001LF","USB-MICROB","Amphenol USB Micro B Board Connector"
"LED1","2.2Vf, 25mA, Green","LCQ971-KN-1","0603","OMRON SMD LED"
"LED2","2.2Vf, 25mA, Green","LCQ971-KN-1","0603","OMRON SMD LED"
"R1","270R 5%","ERJ-3GEYJ271","0603","Panasonic ERJ Thick Film Chip Resistor"
"R3","270R 5%","ERJ-3GEYJ271","0603","Panasonic ERJ Thick Film Chip Resistor"
"R5","100K","T93YA104KT20","T93YA","VISHAY T93 Series Cermet Style Trimmer Potentiometers"
"R6","100K 5%","ERJ-3GEYJ104","0603","Panasonic ERJ Thick Film Chip Resistor"
"R7","10K 5%","ERJ-3GEYJ103","0603","Panasonic ERJ Thick Film Chip Resistor"
"R8","100K 5%","ERJ-3GEYJ104","0603","Panasonic ERJ Thick Film Chip Resistor"
"TP1","Black Compact","TP-5001K-040","TP5000K-040","Keystone 5000 Series Test Points"
"TP2","Red Compact","TP-5000K-040","TP5000K-040","Keystone 5000 Series Test Points"
"U4","300mA, 200mV DO","MCP1824T-ADJE/OT","SOT23-5","Microchip Low Quiescent Current LDO Regulator"
